"","Clemson University","Acadia","Arches","Badlands","Big Bend","Black Canyon of the Gunnison","Bryce Canyon","Canyonlands","Capitol Reef","Carlsbad Caverns *","Channel Islands","Congaree","Crater Lake","Cuyahoga Valley","Death Valley","Everglades","Gateway Arch","Glacier","Grand Canyon *","Grand Teton","Great Basin","Great Sand Dunes","Great Smoky Mountains","Guadalupe Mountains","Hot Springs","Joshua Tree","Kings Canyon","Lassen Volcanic","Mammoth Cave","Mesa Verde *","Mount Rainier","North Cascades","Olympic","Petrified Forest","Pinnacles","Redwood *","Rocky Mountain","Saguaro","Sequoia","Shenandoah","Theodore Roosevelt","Voyageurs","Wind Cave","Yellowstone","Yosemite *","Zion"
"Great Basin",2832.76474150708,3833.17279414882,412.022483768475,1118.93751686853,1482.31516183035,573.48465194588,242.698590630944,390.410550659385,286.096216786119,1169.03834511795,717.081964289083,3044.74976263597,789.773239315338,2786.85038330339,376.77876715945,3467.07283434573,2088.50626756206,1091.36618663333,376.121963696695,603.245633726567,0,780.410318954056,2738.30982672155,1159.13049338043,1956.50619086225,593.506425555701,445.237787051296,640.184293673737,2472.34429613082,547.375454296315,1063.99748058234,1212.97726533513,1243.75581989455,591.486149420812,665.109216577716,865.274599319105,764.079991785919,822.034886275815,478.739157080077,3104.7703828421,1251.2273929746,2013.39937348308,1038.82874615054,699.37137126868,471.724235915181,216.28622345991
"Great Sand Dunes",2061.78175218807,3191.98409210625,370.871987770522,715.088658488949,963.618087297716,214.976493241785,588.759102387514,391.852509117996,500.016245421452,624.506720160911,1320.75461778365,2272.15834871885,1520.48347065217,2090.84630333337,1019.74579405208,2697.17967644814,1344.44077661935,1407.78044817895,619.169641470403,801.875218076911,780.410318954056,0,1972.54973836419,647.196245165308,1176.16344289161,1035.51829705417,1160.31849428793,1415.24414154191,1715.37784780871,270.626305762488,1673.76302735957,1757.1999502002,1851.33651431233,483.483442796523,1396.36681388744,1635.21586174056,296.47663403242,759.428057314867,1178.90722258509,2374.30741599789,1040.21630965449,1573.18926493075,670.797248537087,869.915668533228,1231.33444225144,668.118253276226
"Great Smoky Mountains",127.988224822632,1619.58274197244,2328.23539486931,1850.78102563779,1981.83847079257,2167.0281799975,2561.2972073483,2360.25596691892,2468.82254291853,1968.26507834979,3269.4989332772,328.397225233727,3391.10187206365,640.874386678486,2988.80593234251,1175.19378592161,675.896759070033,2878.25666315897,2574.78342902545,2489.58060887557,2738.30982672155,1972.54973836419,0,2015.32284419313,877.344846368295,2958.53651488094,3132.7497026645,3348.24388452897,284.261670593812,2237.9207144175,3394.10981651874,3386.63370000471,3541.56227313152,2379.18018111184,3368.83010700552,3552.59965078135,1999.37979629861,2513.42895935315,3150.48350615863,558.461647118748,2076.34458163344,1617.68255386348,1917.0412681658,2487.76943317966,3201.04635034764,2640.44714356068
"Guadalupe Mountains",2070.54475038078,3461.26898227079,862.944424864424,1329.36934571224,334.29344093415,781.934656237302,916.432780745583,835.401187210617,902.639318281231,49.1715985694248,1378.64782687482,2259.35567053095,1948.1160483042,2319.17801350895,1201.41266233243,2446.64932341513,1526.32986500022,2024.95511533727,813.283681784777,1409.98658205124,1159.13049338043,647.196245165308,2015.32284419313,0,1137.97857852756,1052.53155485261,1368.23774729561,1768.38609657514,1815.18297815336,671.32491960047,2195.45569279444,2312.90185119463,2376.94459800137,574.536260809881,1581.90738302935,1996.34267725913,943.118863015911,532.701382909775,1366.33099991468,2513.06363669447,1675.31715238444,2099.22156635039,1298.79880873152,1490.28881285433,1487.23936928049,958.007304317317
"Hot Springs",936.750113446069,2388.36453973697,1546.39682592611,1309.59341306045,1126.70759147334,1386.83961593516,1753.81748689153,1566.93261023989,1674.12168598622,1090.95227311828,2422.46842052995,1133.82532087264,2677.58925218162,1255.82207020942,2163.0512478094,1549.36517278682,523.911869732351,2344.29168838099,1742.30244491505,1838.81909662448,1956.50619086225,1176.16344289161,877.344846368295,1137.97857852756,0,2104.31109992219,2316.17578082608,2590.15352384916,693.99342566848,1424.22046603291,2763.7787468494,2801.06515712162,2929.74708804397,1530.60853642696,2550.8682646518,2807.72340136314,1285.14557989646,1640.83645663357,2329.13119691287,1388.2739870398,1635.68200609125,1553.85471236958,1349.48638364188,1865.30954488623,2399.81603715418,1828.19775660304
"Joshua Tree",3034.04628649113,4226.08294979047,785.877085981628,1601.93406313983,1301.47681444741,906.462284756227,537.761082402699,727.160022200504,648.90575394646,1085.57464421233,326.471889842324,3236.56384554803,1150.35151628409,3124.97018344291,284.475477331317,3498.13140286116,2365.07456498624,1674.45246277834,425.908996191959,1188.5330772715,593.506425555701,1035.51829705417,2958.53651488094,1052.53155485261,2104.31109992219,0,411.807556325142,894.702902616146,2718.92893304473,770.117754503594,1531.93448492254,1713.35905464594,1697.94236489901,580.063299023044,564.550136798364,1097.6321556826,1173.23945653572,532.572697399134,387.277265390482,3395.62328053248,1800.6004415307,2512.72468500165,1528.58309158357,1286.82330372797,553.78368342472,467.324233867861
"Kings Canyon",3220.54378200463,4275.01066110891,818.164746327056,1564.16576812081,1653.50022357518,974.645379649357,571.929832199626,777.590746206546,670.616747081713,1392.37733850208,319.468910169707,3429.80215281155,746.142690260811,3217.26159713836,166.945747255935,3780.86095618034,2498.8174052663,1383.38991686044,580.516193790524,1012.3158163844,445.237787051296,1160.31849428793,3132.7497026645,1368.23774729561,2316.17578082608,411.807556325142,0,483.861702367395,2874.8540128217,896.145824075085,1147.20314839644,1339.40744308593,1305.29376060979,813.997307008241,236.089025225694,686.836884253522,1197.03641989208,894.446590447681,42.6742657499472,3523.76279511107,1681.83057690019,2455.84823198904,1483.99154115308,1100.23070889824,141.980221438395,492.308172202545
"Lassen Volcanic",3447.93578333668,4330.01574556787,1044.37873168297,1609.30190265545,2076.65889336639,1203.31491715386,869.923007989289,1029.25348639528,926.259794257919,1784.49278421449,742.618466006764,3661.232228302,276.507946637869,3339.87165116419,624.747018296861,4107.04571676717,2685.39434930603,1097.73122691354,955.257428514607,955.20163412137,640.184293673737,1415.24414154191,3348.24388452897,1768.38609657514,2590.15352384916,894.702902616146,483.861702367395,0,3075.65202157971,1187.35553205632,706.8973186573,912.657019219257,846.141413130249,1194.17804858567,446.178214876624,228.285131441778,1349.64985726046,1344.17356944761,513.854711870399,3681.04008697566,1618.25040571797,2427.17299445193,1528.47957642505,1011.89001641987,342.59450526836,814.421527107793
"Mammoth Cave",404.784658768251,1702.36423106332,2064.43912451098,1566.69988868537,1820.62115062699,1903.99688967084,2302.93020154553,2099.0846838465,2207.35225268439,1766.86043827959,3024.35136021107,612.509353840962,3112.45188464372,597.808373448673,2734.74223942021,1403.50810488085,394.010944606132,2594.5116872336,2325.3491577244,2207.85400020247,2472.34429613082,1715.37784780871,284.261670593812,1815.18297815336,693.99342566848,2718.92893304473,2874.8540128217,3075.65202157971,0,1983.60134657849,3110.34194265166,3102.38237813359,3257.39309651843,2138.91099485858,3110.6667533987,3277.50002413294,1726.00265671416,2294.03977206497,2894.19524513907,698.07067759855,1794.29642806211,1372.905798324,1633.34714273565,2204.66290709456,2938.24175595106,2383.16050149425
"Mesa Verde *",2324.54892229861,3456.04411712354,191.660175531594,888.448220330376,1005.60863250693,168.498352648025,329.664361205653,170.136587554406,262.075238451901,668.155931542204,1050.31205168035,2533.65802020701,1323.3402320451,2360.10339437658,751.293783109659,2921.04248472203,1614.72729387412,1365.93121470477,349.326628097095,753.17701793011,547.375454296315,270.626305762488,2237.9207144175,671.32491960047,1424.22046603291,770.117754503594,896.145824075085,1187.35553205632,1983.60134657849,0,1532.23040791731,1642.82386445498,1713.30016738331,261.337968138116,1132.10311060292,1412.61656567019,437.769189121325,577.029001814792,912.694430155675,2644.84470176524,1164.01561932862,1785.00982808177,826.956476123192,841.158599698833,975.59929524482,404.793762192021
