Clemson University,Acadia,Arches,Badlands,Big Bend,Black Canyon of the Gunnison,Bryce Canyon,Canyonlands,Capitol Reef,Carlsbad Caverns *,Channel Islands,Congaree,Crater Lake,Cuyahoga Valley,Death Valley,Everglades,Gateway Arch,Glacier,Grand Canyon *,Grand Teton,Great Basin,Great Sand Dunes,Great Smoky Mountains,Guadalupe Mountains,Hot Springs,Joshua Tree,Kings Canyon,Lassen Volcanic,Mammoth Cave,Mesa Verde *,Mount Rainier,North Cascades,Olympic,Petrified Forest,Pinnacles,Redwood *,Rocky Mountain,Saguaro,Sequoia,Shenandoah,Theodore Roosevelt,Voyageurs,Wind Cave,Yellowstone,Yosemite *,Zion
3456.580514,4498.043771,1051.669478,1778.261093,1854.098176,1209.300697,807.8414628,1012.598583,905.1060683,1608.828545,316.4877335,3665.748461,721.7499506,3448.119892,390.4001177,4007.515005,2733.920437,1487.587788,811.5363938,1193.384423,665.1092166,1396.366814,3368.830107,1581.907383,2550.868265,564.5501368,236.0890252,446.1782149,3110.666753,1132.103111,1152.804477,1357.46437,1290.65511,1040.156059,0,588.9975333,1425.83808,1086.184508,222.377508,3757.838336,1870.999256,2658.519404,1697.316795,1274.064528,210.2093988,728.3956356
3654.643789,4485.736742,1264.642637,1782.232785,2303.321191,1421.868434,1097.479161,1252.390638,1150.905596,2012.683937,904.0818762,3868.336307,240.5487203,3520.521252,839.01171,4330.133525,2885.471547,1144.973052,1183.100432,1116.50359,865.2745993,1635.215862,3552.599651,1996.342677,2807.723401,1097.632156,686.8368843,228.2851314,3277.500024,1412.616566,642.4032159,851.3309246,742.2578359,1422.281961,588.9975333,0,1553.567286,1565.442589,710.659548,3870.113493,1754.627681,2564.272231,1702.720784,1159.442969,545.7034322,1042.681482
2101.129189,3081.826072,392.5149213,450.9456119,1255.055248,274.1636691,652.2133255,447.6310384,540.3735806,918.9399296,1416.132063,2314.881822,1401.924449,2022.944034,1084.883208,2833.085181,1336.213883,1146.58409,749.2635441,568.5330605,764.0799918,296.476634,1999.379796,943.118863,1285.14558,1173.239457,1197.03642,1349.649857,1726.002657,437.7691891,1484.810994,1541.417528,1655.558632,697.6649614,1425.83808,1553.567286,0,1006.054509,1224.511409,2343.197586,749.816381,1350.315676,392.7250367,617.1859838,1235.788396,733.7569481
2577.584449,3885.417602,718.3690454,1455.366723,769.5103275,745.1624838,609.8046965,662.1548541,662.928675,571.3125085,854.6413536,2772.557181,1564.408583,2755.2778,731.0283082,2977.036541,1969.966202,1861.056635,448.8473043,1274.517986,822.0348863,759.4280573,2513.428959,532.7013829,1640.836457,532.5726974,894.4465904,1344.173569,2294.039772,577.0290018,1883.062239,2034.932116,2061.259349,319.8303675,1086.184508,1565.442589,1006.054509,0,883.5286572,2986.513672,1741.043505,2332.353593,1398.619534,1370.918546,1027.525032,606.8391997
3237.078615,4304.370449,842.372001,1597.262605,1646.507416,997.1379875,592.1114316,799.7658504,693.8505891,1391.793614,276.8068873,3445.766127,779.8819983,3242.632073,168.3152242,3786.298932,2519.890882,1426.044351,589.1591846,1051.926858,478.7391571,1178.907223,3150.483506,1366.331,2329.131197,387.2772654,42.67426575,513.8547119,2894.195245,912.6944302,1184.982799,1378.41513,1341.517135,818.6836177,222.377508,710.659548,1224.511409,883.5286572,0,3546.183535,1719.879188,2491.290603,1517.361525,1140.490124,171.6073244,511.1358937
586.3275089,1064.45559,2706.178125,2100.274514,2512.225537,2549.208039,2954.457436,2746.484347,2853.146305,2464.664815,3693.498694,570.5651411,3685.89594,406.7062017,3391.612281,1484.814054,1031.036334,3059.115637,2991.716865,2766.638753,3104.770383,2374.307416,558.4616471,2513.063637,1388.273987,3395.623281,3523.762795,3681.040087,698.0706776,2644.844702,3624.979902,3585.184511,3754.810777,2817.234676,3757.838336,3870.113493,2343.197586,2986.513672,3546.183535,0,2245.726626,1609.595745,2176.305375,2745.781277,3575.731971,3036.217809
2199.072996,2738.504303,1047.321795,365.5176653,1967.009531,996.0321885,1266.662475,1109.028338,1160.875436,1645.371422,1968.309353,2404.002215,1534.003132,1857.904715,1627.170305,3119.670547,1423.075709,814.1119958,1410.205559,678.8459856,1251.227393,1040.21631,2076.344582,1675.317152,1635.682006,1800.600442,1681.830577,1618.250406,1794.296428,1164.015619,1391.049699,1339.535041,1511.297872,1423.551049,1870.999256,1754.627681,749.816381,1741.043505,1719.879188,2245.726626,0,810.1563654,377.8733075,607.9219034,1660.925007,1333.338631
1745.332863,1942.367962,1727.512428,910.8011748,2313.708718,1624.435301,1977.398597,1787.389776,1864.885176,2056.916077,2722.277166,1919.382616,2341.384377,1202.915697,2380.157314,2776.396791,1117.726525,1551.547758,2094.736397,1478.922625,2013.399373,1573.189265,1617.682554,2099.221566,1553.854712,2512.724685,2455.848232,2427.172994,1372.905798,1785.009828,2162.71848,2076.810382,2260.139938,2039.987624,2658.519404,2564.272231,1350.315676,2332.353593,2491.290603,1609.595745,810.1563654,0,985.3424951,1415.39232,2449.967948,2053.691349
2031.911329,2810.110688,745.5437465,81.53954957,1589.199191,659.5694577,992.2879662,806.4176909,880.0131,1268.132416,1739.614014,2243.951566,1510.453705,1818.379184,1398.470124,2878.759479,1241.97956,997.3438644,1114.567555,590.6250177,1038.828746,670.7972485,1917.041268,1298.798809,1349.486384,1528.583092,1483.991541,1528.479576,1633.347143,826.9564761,1477.075348,1478.862932,1626.788527,1088.091622,1697.316795,1702.720784,392.7250367,1398.619534,1517.361525,2176.305375,377.8733075,985.3424951,0,573.5776864,1493.120095,1068.349099
2600.927066,3326.429128,662.0493178,646.4225477,1819.965386,708.5881036,793.3294354,712.3864415,712.9926805,1476.778592,1403.102489,2813.723048,951.14462,2380.094547,1071.317102,3412.285202,1811.956726,538.0429133,958.4199711,99.60370109,699.3713713,869.9156685,2487.769433,1490.288813,1865.309545,1286.823304,1100.230709,1011.890016,2204.662907,841.1585997,909.8549704,936.1442074,1067.948564,1059.914985,1274.064528,1159.442969,617.1859838,1370.918546,1140.490124,2745.781277,607.9219034,1415.39232,573.5776864,0,1064.070653,838.5148878
3292.505233,4298.295257,873.8157613,1574.332216,1780.177816,1034.399314,646.0228783,841.0134886,732.3994484,1508.961602,423.9196604,3503.313281,608.7740367,3258.406311,296.609909,3882.235028,2556.913214,1296.970608,684.1682965,983.1799818,471.7242359,1231.334442,3201.04635,1487.239369,2399.816037,553.7836834,141.9802214,342.5945053,2938.241756,975.5992952,1018.831975,1215.411908,1172.443127,923.0827822,210.2093988,545.7034322,1235.788396,1027.525032,171.6073244,3575.731971,1660.925007,2449.967948,1493.120095,1064.070653,0,572.7604619
2728.43182,3813.375957,341.8923999,1143.90687,1275.510603,489.2177178,82.622042,292.5284547,193.461147,971.7196495,682.3767455,2937.952987,992.6312114,2737.928369,356.5128256,3312.644462,2009.017992,1279.89488,159.8448028,738.957362,216.2862235,668.1182533,2640.447144,958.0073043,1828.197757,467.3242339,492.3081722,814.4215271,2383.160501,404.7937622,1280.220684,1428.262876,1459.825352,384.3362476,728.3956356,1042.681482,733.7569481,606.8391997,511.1358937,3036.217809,1333.338631,2053.691349,1068.349099,838.5148878,572.7604619,0
